,X,GISJOINID,POP15,POP15DEN,PCTPOPCHA,MDAGE,PCINC15,PCTINCCHA,MDHV15,MDHVCHA,MDCRENT15,PCTMDCR,PCTHSAFF15,PCTHSBRD15,PCTBACH15,PCTVA15,PCTFAM15,HSUNIT15,HS15DEN,MDBLDAGE15,PCTCTLT15,PCTCT1540,PCTCTMT40,PCTPT,PCTMBW,PCTCAR,PCTSAMEHS,PCTMETROPC,CL11_2,CL4_2
1,1,G53003300121002,1802,4344.910517,14.4126997,43.1,48693,2.176,374600,-16.8664,1614,38.6598,76.9231,11.5385,48.3575,0,72.6471,680,1639.588874,60,20.1764,59.9779,19.8456,5.6452,1.5121,84.2742,91.5831,7.0234,10,2
2,2,G53003300121001,1051,1330.034161,6.1616001,50,78339,-4.7759,619000,-15.3099,1198,5.18,71.4286,0,69.0888,9.3066,63.3803,548,693.490695,59,7.8095,62.8571,29.3333,12.305,0,72.7903,88.2969,11.7031,10,2
3,3,G53003300120003,1265,6931.258419,-3.4351001,37.6,52689,53.2682,412700,-6.7555,1399,-10.8349,91.1111,8.8889,63.1757,8.6486,65.8777,555,3040.986895,71,14.121,59.2219,26.6571,13.8705,0,77.8071,84.2607,12.6391,10,2
4,4,G53003300120001,1050,5834.522523,0.9615,42.6,34923,-8.6479,282700,-1.9424,1250,-7.27,44.1176,55.8824,32.0849,0,47.6285,506,2811.684187,67,11.7647,49.5256,38.7097,13.6895,4.6745,69.616,81.4493,11.7874,2,3
5,5,G53003300063002,1079,1304.562014,-13.5417004,64.2,141007,41.4455,1062500,6.2499,1360,-11.86,48.5207,47.3373,74.7126,25.495,53.3223,808,976.9102016,53,18.4848,81.5152,0,14.5125,0,60.3175,94.81,5.19,10,2
6,6,G53003300063001,1260,1612.863635,-18.0221004,48.1,73015,26.1075,780400,17.4947,1416,22.3855,77.1127,17.6056,69.8784,7.5792,32.0685,884,1131.564646,53,15.8602,69.7581,14.3817,19.3046,7.1942,62.7098,60.873,29.8413,10,2
7,7,G53003300062002,1570,6325.007236,0.1276,46.7,69778,-4.1445,743200,-2.1075,1075,-46.2769,77.7778,0,84.9398,0,83.9344,610,2457.486888,76,25.7576,61.9697,12.2727,16.7901,9.3827,54.0741,81.9948,10.2332,10,2
8,8,G53003300062003,954,4071.42427,-13.9765997,46.5,87457,-4.653,905000,-4.3644,1750,-3.4749,71.4286,14.2857,83.4446,0,70.5426,387,1651.615506,76,18.6475,73.3607,7.9918,16.7549,17.4603,51.8519,88.6412,9.5541,10,2
9,9,G53003300062001,1539,2256.2928,1.3834,35.5,55900,-0.4328,752100,5.8848,1440,9.2564,65.0485,31.068,83.0875,0,54.2714,597,875.2480842,76,15.0685,77.9452,6.9863,27.8607,15.9204,47.0149,80.3139,16.8084,10,2
10,10,G53003300061003,1389,7445.720094,18.8195,32.8,60453,3.0601,730100,51.222,1134,11.1765,66,21.5714,75.9067,10.4847,29.5028,1011,5419.455014,53,17.2081,68.2177,14.5742,24.8075,8.8109,63.8152,78.4737,14.7588,10,2
